,sentence
291,a ও b কে যথাক্রমে জটিল সংখ্যার বাস্তব অংশ এবং কাল্পনিক অংশ বলা হয়
292,জটিল সংখ্যাগুলি একটি ফিল্ড তৈরি করে
293,তিনি এগুলিকে  কাল্পনিক  অভিধা দিয়েছিলেন
294,এই পর্যবেক্ষণ থেকেই বীজগণিতের মৌলিক উপপাদ্যের সৃষ্টি
295,তিনি জটিল সংখ্যার তত্ত্বকে চতুষ্টির তত্ত্বে উন্নীত করেন
296,যেমন  জটিল বিশ্লেষণ  জটিল ম্যট্রিক্স  জটিল বহুপদী এবং জটিল লি বীজগণিত
297,যেমন   3 2i  একটা জটিল সংখ্যা  যার বাস্তব অংশ  3  এবং কাল্পনিক অংশ  2
298,জটিল সংখ্যার সার্বিক সেটকে C বা formula 3 প্রতীক দিয়ে প্রকাশ করা হয়
299,অর্থাৎ  বাস্তব সংখ্যা a কে  a 0i সেবে ভাবা যেতে পারে
300,তাই জটিল সংখ্যাকে কখনো কখনো  a bj  আকারে লিখতে দেখা যায়
301,এর বিপরীতে আর এক ধরনের সংখ্যা আছে যাদের বলা হয় অবাস্তব সংখ্যা
302,যেখানে  p  এবং  q  উভয় পূর্ণ সংখ্যা এবং  q≠0
303,সাধারণ ধারণা  যেকোন পূর্ণ সংখ্যা একটি মূলদ সংখ্যা
304,অর্থাৎ  formula 5 ইত্যাদি সবই মূলদ সংখ্যা
305,হিপ্পসাস নামক পীথাগোরাসের শিষ্য formula 1 আবিস্কার করেন
306,পরবর্তিতে আরো এরকম সংখ্যা আবিস্কৃত হয়
307,আর গণিতবিদেরা এদের নাম দেন অমুলদ সংখ্যা
308,শ্রীনিবাস রামানুজন বলেচিলেন যে formula 1 এর মান যতো খুশি ততো ঘর
309,সেট সেট বলতে সুনির্দিষ্টভাবে সংজ্ঞায়িত বস্তুর সমাহারকে বোঝায়
310,আধুনিক হাতিয়ার হিসেবে সেট এর ব্যবহার ব্যাপক
311,সেট প্রকাশের জন্য ইংরেজি বড় হাতের অক্ষর ব্যবহার করা হয়
312,যেমন  A a b c  এখানে A হল সেট
313,a b c হল সেটের উপাদান
314,শর্ত দুটি হচ্ছে সুনির্দিষ্টতা ও সুসংজ্ঞায়িত হওয়া
315,আমরা এখন দুটো শর্ত বিস্তারিত আলোচনা করব
316,প্রথমে সেট হবার জন্য উপাদানগুলো সুনির্দিষ্ট হতে হবে
317,অর্থাৎ উপাদানগুলোর মাঝে কোন না কোন মিল থাকতে হবে
318,উপরের উদাহরণে a b c সবাই ইংরেজি বর্ণমালার অক্ষর
319,আরেকটি হচ্ছে তালিকা পদ্ধতি
320,১৮৮৭ সালে সুকুমার রায়ের জন্ম
321,সুবিনয় রায় ও সুবিমল রায় তাঁর দুই ভাই
322,এ ছাড়াও তাঁর ছিল তিন বোন
323,সুকুমার রায় জন্মেছিলেন বাঙ্গালী নবজাগরণের স্বর্ণযুগে
324,মেসার্স ইউ  রয় এন্ড সন্স নামে ঐ প্রতিষ্ঠানের সাথে সুকুমার যুক্ত ছিলেন
325,শিক্ষাজীবন  কলকাতার সিটি স্কুল থেকে এন্ট্রাস পাশ করেন
