,Inflected_sentences
141,"সংবাদ বিজ্ঞপ্তিতে বলা হয়, 'সকলের দ্বারা এবং সকলের জন্য' শিরোনামে সিইআরএফ আয়োজিত এক অনুষ্ঠানে যোগ দেন রাবাব ফাতিমা।"
142,"বিল দুটি হলো- আইনশৃঙ্খলা বিঘ্নকারী অপরাধ (দ্রুত বিচার) (সংশোধন) বিল, ২০১৮ এবং কবি নজরুল ইনস্টিটিউট বিল, ২০১৮।"
143,স্বাধীনতার পর এই ঐতিহাসিক দিনটিতে সশস্ত্র বাহিনী দিবস হিসেবে পালন করা হচ্ছে।
144,সিইসির ব্যক্তিগত কর্মকর্তা একেএম মাজহারুল ইসলাম এ তথ্য নিশ্চিত করেন।
145,এছাড়া দেশে রেমিট্যান্সের প্রবাহও বেড়েছে।
146,এসব বিষয়ে শিক্ষকদের প্রশিক্ষিত ও দক্ষ করে তুলতে হবে।
147,"গত কয়েক বছরে, দেশে কয়েকটি অনলাইন প্ল্যাটফর্ম দেখা গেছে যারা বইয়ের হার্ড কপি বিক্রি করে।"
148,"তিনি বলেন, 'আমরা আমাদের সন্তানদের নিরাপদ রাখতে জলবায়ু পরিবর্তন থেকে উদ্ভূত ঝুঁকি প্রশমন এবং বিপারমাণবিকরণ নিশ্চিত করতেও সম্মত হয়েছি এবং সর্বোপরি আমরা শান্তি ও জ্ঞানের দিগন্ত সম্প্রসারিত করতে পরস্পরের প্রয়াসে সহযোগিতা প্রদানেও সম্মত হয়েছি।'"
149,শেখ হাসিনা আগামী ৩ জুন ফিনল্যান্ডের হেলসিংকির উদ্দেশে জেদ্দা ত্যাগ করবেন যেখানে আগামী ৪ জুন ফিনল্যান্ডের রাষ্ট্রপতির সাথে সৌজন্য সাক্ষাৎ করবেন।
150,"প্রধানমন্ত্রী বলেন, বাংলাদেশ রোহিঙ্গা প্রত্যাবর্তনে দ্বিপক্ষীয় ব্যবস্থা করেছে।"
151,দেশের চাহিদা পূরণ করে ওয়ালটন রেফ্রিজারেটর রপ্তানি হচ্ছে বিশ্বের বিভিন্ন দেশে।
152,তাই আইন শৃঙ্খলা রক্ষাকারী বাহিনীকে এ বিষয়ে আরো সতর্কতার সঙ্গে কাজ করা জরুরি।
153,সাক্ষাৎকালে তারা পারস্পরিক কুশলাদি বিনিময় ছাড়াও ঢাকা মেট্রোপলিটন এলাকায় সেনাবাহিনী ও পুলিশ সদস্যদের মধ্যে সৌহার্দ্যপূর্ণ সম্পর্ক এবং নিরাপত্তা সংশ্লিষ্ট বিভিন্ন বিষয়ে একযোগে কাজ করার বিভিন্ন দিক নিয়ে আলোচনা করেন।
154,বাংলাদেশে সরাসরি বিদেশি বিনিয়োগ বেড়েছে প্রায় ৬৮ শতাংশ যা বিশ্বের সর্বোচ্চ।
155,মানবতাবিরোধী অপরাধ মামলায় খুলনার ডুমুরিয়া থানার শেখ আবদুর রহিমসহ (৬৮) ১১ জনের বিরুদ্ধে চূড়ান্ত প্রতিবেদন প্রকাশ করেছে তদন্ত সংস্থা।
156,বাংলাদেশে হোলি আর্টিজানে ক্ষতিগ্রস্ত জাপানিরা তার সঙ্গে সাক্ষাৎ করবেন।
157,তিনি সন্ত্রাস দমনে বাংলাদেশের নেওয়া পদক্ষেপের প্রশংসা করেন।
